dep_com;idp_refugie_last_month;idp_refugie_3_months;food_access_no;mean_existence_access_no;market_access;security_feeling_no;health_access_no;education_access_no;diff_info_access;diff_info_access_no;nutri_programme;enough_water_access_no;pdi_vivant_cond_adeq_no;abris_dommages;procuration_savon;tel_mobile;settlement_assessed_num;ki_num;n;dep_percentage
abala_abala;0,00000000;0,05555556;0,75000000;0,86111111;0,9444444;0,22222222;0,02777778;0,19444444;0,05555556;0,9444444;0,86111111;0,7222222;0,6666667;0,00000000;0,4722222;0,75000000;36;52;142;0,25352113
abala_sanam;0,00000000;0,04166667;0,75000000;1,00000000;0,9583333;0,37500000;0,04166667;0,12500000;0,16666667;0,8333333;0,83333333;0,7083333;0,6666667;0,00000000;0,5000000;0,58333333;24;40;140;0,17142857
anderamboukane_anderamboukane;0,33333333;0,41666667;0,50000000;0,58333333;0,5000000;0,75000000;0,25000000;0,50000000;0,41666667;0,5833333;0,25000000;0,5000000;0,6000000;0,00000000;0,6666667;0,16666667;12;12; 14;0,85714286
ansongo_ansongo;0,33333333;0,33333333;0,66666667;0,66666667;0,8333333;0,83333333;0,16666667;0,33333333;0,83333333;0,1666667;0,83333333;0,0000000;0,5000000;0,00000000;0,6666667;0,33333333; 6; 6; 27;0,22222222
ansongo_bara;0,00000000;0,12500000;0,75000000;0,62500000;0,6250000;0,87500000;0,37500000;0,37500000;0,75000000;0,2500000;0,62500000;0,2500000;0,0000000;0,25000000;0,7500000;0,12500000; 8; 8; 21;0,38095238
ansongo_bourra;0,14285714;0,14285714;0,42857143;0,42857143;0,7142857;0,85714286;0,42857143;0,42857143;0,28571429;0,7142857;0,28571429;0,4285714;0,5000000;0,00000000;0,7142857;0,57142857; 7; 7; 35;0,20000000
ansongo_ouattagouna;0,00000000;0,30000000;0,70000000;0,50000000;0,5000000;1,00000000;0,60000000;0,80000000;0,80000000;0,2000000;0,10000000;0,5000000;0,6666667;0,10000000;0,9000000;0,10000000;10;10; 38;0,26315789
ansongo_talataye;0,42857143;0,57142857;0,57142857;0,42857143;0,2857143;0,85714286;0,57142857;1,00000000;0,57142857;0,4285714;0,28571429;0,7142857;0,6000000;0,00000000;0,5714286;0,00000000; 7; 7;  9;0,77777778
ansongo_tessit;0,25000000;0,37500000;0,62500000;0,50000000;0,3750000;1,00000000;0,62500000;1,00000000;0,50000000;0,5000000;0,12500000;0,6250000;1,0000000;0,25000000;0,6250000;0,12500000; 8; 8; 18;0,44444444
ansongo_tin_hama;0,42857143;0,57142857;0,28571429;0,42857143;0,8571429;0,85714286;0,28571429;0,42857143;0,28571429;0,7142857;0,42857143;0,2857143;1,0000000;0,00000000;0,5714286;0,42857143; 7; 7;  6;1,16666667
ayerou_ayerou;0,00000000;0,00000000;0,66666667;0,11111111;1,0000000;0,38888889;0,00000000;0,16666667;0,50000000;0,5000000;0,94444444;0,5555556;0,5000000;0,00000000;0,7777778;0,72222222;18;25;105;0,17142857
ayerou_inates;0,00000000;0,00000000;0,82352941;0,41176471;1,0000000;0,82352941;0,11764706;0,41176471;0,64705882;0,3529412;0,82352941;0,7058824;NA;0,00000000;0,7647059;0,23529412;17;25; 71;0,23943662
bam_bourzanga;0,00000000;0,00000000;0,00000000;0,20000000;1,0000000;0,00000000;0,00000000;0,20000000;0,00000000;1,0000000;1,00000000;0,4000000;1,0000000;0,00000000;0,2000000;1,00000000; 5; 9; 41;0,12195122
bam_guibare;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,3333333;0,3333333;0,00000000;0,0000000;1,00000000; 3; 6; 18;0,16666667
bam_kongoussi;0,00000000;0,00000000;0,14285714;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,4285714;0,5714286;0,00000000;0,0000000;1,00000000; 7;11; 58;0,12068966
bam_nassere;0,00000000;0,00000000;0,33333333;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,6666667;0,0000000;0,00000000;0,0000000;1,00000000; 3; 4; 10;0,30000000
bam_rollo;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;0,7500000;0,00000000;0,0000000;1,00000000; 4; 9; 21;0,19047619
bam_rouko;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,3333333;0,3333333;0,00000000;0,0000000;1,00000000; 3; 4; 10;0,30000000
bam_sabse;0,00000000;0,25000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,5000000;0,5000000;0,00000000;0,0000000;1,00000000; 4; 4; 37;0,10810811
bam_tikare;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,20000000;0,8000000;1,00000000;0,2000000;0,4000000;0,00000000;0,0000000;1,00000000; 5; 9; 40;0,12500000
bam_zimtanga;0,00000000;0,00000000;0,50000000;0,50000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,7500000;1,0000000;0,00000000;0,0000000;1,00000000; 4; 5; 35;0,11428571
bandiagara_bandiagara;0,00000000;1,00000000;0,00000000;0,50000000;1,0000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,5000000;1,0000000;0,00000000;0,5000000;1,00000000; 2; 2;  1;2,00000000
bandiagara_bara_sara;0,50000000;1,00000000;0,50000000;0,50000000;0,5000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;0,50000000;0,0000000;1,0000000;0,00000000;0,5000000;0,50000000; 2; 2; 34;0,05882353
bandiagara_borko;0,00000000;0,00000000;1,00000000;1,00000000;0,0000000;1,00000000;0,50000000;1,00000000;0,00000000;1,0000000;0,00000000;0,5000000;1,0000000;0,00000000;1,0000000;1,00000000; 2; 2;  7;0,28571429
bandiagara_dandoli;0,00000000;0,00000000;0,00000000;0,50000000;1,0000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;0,0000000;0,00000000;0,5000000;1,00000000; 2; 2; 17;0,11764706
bandiagara_diamnati;0,50000000;1,00000000;1,00000000;1,00000000;1,0000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 2; 17;0,11764706
bandiagara_dogani_bere;0,00000000;0,00000000;1,00000000;1,00000000;0,5000000;1,00000000;1,00000000;1,00000000;0,00000000;1,0000000;0,00000000;0,0000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 2;  5;0,40000000
bandiagara_doucoumbo;0,00000000;0,00000000;0,50000000;1,00000000;0,5000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;0,50000000;0,0000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 2; 43;0,04651163
bandiagara_dourou;0,00000000;0,00000000;1,00000000;1,00000000;1,0000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,0000000;0,0000000;0,50000000;1,0000000;1,00000000; 2; 2; 33;0,06060606
bandiagara_kende;0,00000000;0,00000000;1,00000000;1,00000000;0,5000000;1,00000000;0,50000000;1,00000000;0,50000000;0,5000000;0,00000000;1,0000000;1,0000000;0,50000000;1,0000000;0,00000000; 2; 2;  7;0,28571429
bandiagara_kendie;0,00000000;1,00000000;0,00000000;0,50000000;0,5000000;1,00000000;0,50000000;0,00000000;0,00000000;1,0000000;0,50000000;1,0000000;1,0000000;0,00000000;1,0000000;1,00000000; 2; 2; 56;0,03571429
bandiagara_lowol_gueou;0,00000000;1,00000000;1,00000000;1,00000000;0,0000000;1,00000000;0,50000000;1,00000000;0,00000000;1,0000000;0,00000000;0,5000000;1,0000000;0,00000000;1,0000000;1,00000000; 2; 2; 23;0,08695652
bandiagara_metoumou;0,00000000;0,50000000;0,50000000;1,00000000;0,5000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,50000000;1,0000000;1,0000000;0,00000000;0,5000000;1,00000000; 2; 2; 24;0,08333333
bandiagara_ondougou;0,00000000;0,50000000;0,50000000;1,00000000;1,0000000;1,00000000;0,50000000;0,00000000;0,00000000;1,0000000;0,50000000;0,5000000;1,0000000;0,00000000;0,5000000;1,00000000; 2; 2;  9;0,22222222
bandiagara_pelou;0,00000000;0,00000000;1,00000000;1,00000000;1,0000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,0000000;1,0000000;0,00000000;1,0000000;1,00000000; 2; 2;  4;0,50000000
bandiagara_pignari;0,50000000;1,00000000;0,50000000;1,00000000;1,0000000;1,00000000;0,50000000;0,00000000;0,50000000;0,5000000;0,50000000;0,5000000;1,0000000;0,50000000;0,0000000;1,00000000; 2; 2; 24;0,08333333
bandiagara_pignari_bana;0,00000000;0,00000000;1,00000000;1,00000000;0,5000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;0,00000000;0,0000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 2; 38;0,05263158
bandiagara_sangha;0,00000000;0,00000000;1,00000000;1,00000000;1,0000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;0,00000000;1,0000000;1,00000000; 1; 1; 84;0,01190476
bandiagara_segue_ire;0,00000000;0,00000000;1,00000000;1,00000000;0,5000000;1,00000000;0,50000000;0,50000000;0,50000000;0,5000000;0,50000000;1,0000000;1,0000000;0,00000000;1,0000000;0,50000000; 2; 2; 21;0,09523810
bandiagara_soroly;0,50000000;1,00000000;0,50000000;0,50000000;0,5000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;0,00000000;0,0000000;1,0000000;0,00000000;0,5000000;0,50000000; 2; 2; 18;0,11111111
bandiagara_timiri;0,00000000;1,00000000;0,00000000;0,00000000;0,0000000;1,00000000;0,50000000;1,00000000;0,00000000;1,0000000;0,00000000;1,0000000;1,0000000;0,50000000;1,0000000;1,00000000; 2; 2; 40;0,05000000
bandiagara_wadouba;0,00000000;1,00000000;0,50000000;0,50000000;1,0000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;0,50000000;1,0000000;1,0000000;0,00000000;0,5000000;0,50000000; 2; 2; 68;0,02941176
banibangou_banibangou;0,00000000;0,00000000;0,73333333;0,66666667;0,8000000;0,73333333;0,06666667;0,46666667;0,33333333;0,6666667;0,73333333;0,8000000;1,0000000;0,00000000;0,4666667;0,46666667;15;23;206;0,07281553
bankass_bankass;0,50000000;1,00000000;0,00000000;0,50000000;1,0000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,5000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 2; 37;0,05405405
bankass_baye;0,50000000;1,00000000;1,00000000;1,00000000;1,0000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 2; 70;0,02857143
bankass_diallassagou;0,50000000;1,00000000;1,00000000;1,00000000;0,5000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,00000000;0,5000000;1,00000000; 2; 2; 39;0,05128205
bankass_dimbal_habe;0,50000000;1,00000000;0,50000000;0,50000000;0,5000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;0,50000000;0,0000000;1,0000000;0,00000000;0,5000000;0,50000000; 2; 2; 37;0,05405405
bankass_kani_bozon;0,50000000;0,50000000;1,00000000;1,00000000;1,0000000;1,00000000;0,00000000;1,00000000;0,00000000;1,0000000;0,50000000;0,0000000;1,0000000;1,00000000;1,0000000;1,00000000; 2; 2; 24;0,08333333
bankass_koulogon_habe;0,00000000;1,00000000;0,50000000;0,50000000;0,5000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;0,50000000;0,5000000;1,0000000;0,00000000;0,5000000;0,50000000; 2; 2; 23;0,08695652
bankass_lessagou_habe;0,00000000;1,00000000;0,50000000;0,50000000;0,5000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;0,50000000;0,5000000;1,0000000;0,00000000;0,5000000;0,50000000; 2; 2; 31;0,06451613
bankass_ouonkoro;0,00000000;1,00000000;1,00000000;1,00000000;1,0000000;1,00000000;0,00000000;0,50000000;0,00000000;1,0000000;1,00000000;0,5000000;1,0000000;0,00000000;1,0000000;0,50000000; 2; 2; 32;0,06250000
bankass_segue;0,00000000;0,00000000;0,50000000;1,00000000;1,0000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,50000000;0,0000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 2; 51;0,03921569
bankass_sokoura;0,50000000;1,00000000;0,50000000;1,00000000;1,0000000;1,00000000;0,00000000;0,50000000;0,00000000;1,0000000;0,50000000;0,0000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 2; 57;0,03508772
bankass_soubala;0,00000000;0,00000000;1,00000000;1,00000000;0,5000000;1,00000000;0,50000000;1,00000000;0,00000000;1,0000000;0,50000000;0,0000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 2; 17;0,11764706
bankass_tori;0,00000000;1,00000000;1,00000000;1,00000000;1,0000000;1,00000000;0,00000000;0,50000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,00000000;1,0000000;0,50000000; 2; 2; 23;0,08695652
bankilare_bankilare;0,00000000;0,00000000;0,78571429;0,14285714;1,0000000;0,28571429;0,00000000;0,50000000;0,35714286;0,6428571;0,92857143;0,7142857;NA;0,00000000;0,6428571;0,57142857;14;24;155;0,09032258
bourem_bamba;0,08333333;0,33333333;0,25000000;0,25000000;0,5833333;0,41666667;0,33333333;0,16666667;0,25000000;0,7500000;0,25000000;0,2500000;0,8000000;0,08333333;0,5000000;0,33333333;12;12; 54;0,22222222
bourem_bourem;0,00000000;0,00000000;0,30000000;0,20000000;0,9000000;0,40000000;0,00000000;0,10000000;0,00000000;1,0000000;0,70000000;0,2000000;NA;0,00000000;0,6000000;0,80000000;10;10; 40;0,25000000
bourem_taboye;0,00000000;0,12500000;0,75000000;0,37500000;0,5000000;0,37500000;0,25000000;0,25000000;0,12500000;0,8750000;0,25000000;0,1250000;1,0000000;0,37500000;0,8750000;0,62500000; 8; 8; 28;0,28571429
bourem_tarkint;0,15384615;0,38461538;0,76923077;0,61538462;0,7692308;0,84615385;0,53846154;0,76923077;0,61538462;0,3846154;0,30769231;0,6153846;0,7500000;0,07692308;0,7692308;0,07692308;13;15; 21;0,61904762
bourem_temera;0,00000000;0,33333333;1,00000000;0,66666667;0,6666667;1,00000000;0,33333333;0,33333333;0,33333333;0,6666667;0,00000000;0,3333333;1,0000000;0,33333333;1,0000000;0,33333333; 3; 3; 41;0,07317073
dire_arham;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;NA;0,00000000;0,0000000;1,00000000; 1; 1;  5;0,20000000
dire_binga;0,00000000;0,00000000;0,66666667;0,66666667;0,6666667;0,33333333;0,66666667;0,33333333;0,00000000;1,0000000;0,33333333;0,0000000;0,0000000;0,00000000;0,6666667;0,66666667; 3; 3;  8;0,37500000
dire_bourem_sidi_amar;0,00000000;1,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;0,0000000;0,00000000;0,0000000;0,00000000; 1; 1;  9;0,11111111
dire_dangha;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;NA;0,00000000;0,0000000;0,00000000; 1; 1; 19;0,05263158
dire_dire;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;NA;0,00000000;0,0000000;0,00000000; 1; 1;  4;0,25000000
dire_garbakoira;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,50000000;0,0000000;NA;0,00000000;0,0000000;0,50000000; 2; 2; 10;0,20000000
dire_haibongo;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;NA;0,00000000;0,0000000;0,00000000; 2; 2; 15;0,13333333
dire_kirchamba;0,00000000;0,00000000;0,50000000;0,50000000;0,0000000;0,50000000;1,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,0000000;NA;0,00000000;0,5000000;0,50000000; 2; 2;  5;0,40000000
dire_kondi;0,00000000;0,00000000;0,50000000;0,50000000;0,0000000;0,00000000;1,00000000;1,00000000;0,00000000;1,0000000;0,00000000;0,0000000;NA;0,00000000;1,0000000;1,00000000; 2; 2;  5;0,40000000
dire_sareyamou;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;NA;0,00000000;0,0000000;0,50000000; 2; 2; 19;0,10526316
dire_tindirma;0,00000000;0,00000000;0,66666667;0,66666667;0,3333333;0,66666667;0,66666667;0,33333333;0,00000000;1,0000000;0,33333333;0,3333333;NA;0,00000000;0,6666667;0,33333333; 3; 3;  9;0,33333333
dire_tinguereguif;0,00000000;0,00000000;1,00000000;1,00000000;0,0000000;1,00000000;1,00000000;1,00000000;1,00000000;0,0000000;0,00000000;0,0000000;NA;0,00000000;1,0000000;0,00000000; 1; 1;  3;0,33333333
djenne_dandougou_fakala;0,00000000;0,00000000;0,33333333;0,33333333;0,6666667;1,00000000;0,66666667;0,00000000;0,00000000;1,0000000;0,33333333;0,0000000;NA;0,00000000;0,0000000;0,66666667; 3; 3; 15;0,20000000
djenne_derrary;0,00000000;0,00000000;0,33333333;0,33333333;1,0000000;1,00000000;0,00000000;0,33333333;0,00000000;1,0000000;1,00000000;0,6666667;1,0000000;0,00000000;0,0000000;1,00000000; 3; 3;  8;0,37500000
djenne_djenne;0,00000000;0,33333333;0,33333333;0,00000000;0,3333333;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,66666667;0,0000000;0,5000000;0,00000000;0,0000000;1,00000000; 3; 3; 17;0,17647059
djenne_fakala;0,00000000;0,00000000;0,33333333;0,33333333;0,6666667;1,00000000;0,66666667;0,66666667;0,00000000;1,0000000;0,33333333;0,0000000;0,0000000;0,00000000;0,0000000;0,66666667; 3; 3; 61;0,04918033
djenne_femaye;0,00000000;0,00000000;0,33333333;0,33333333;1,0000000;1,00000000;0,00000000;0,66666667;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;0,00000000;0,0000000;1,00000000; 3; 3; 21;0,14285714
djenne_kewa;0,00000000;0,33333333;0,66666667;0,66666667;0,6666667;1,00000000;0,00000000;0,66666667;0,00000000;1,0000000;0,66666667;0,6666667;1,0000000;0,00000000;0,3333333;1,00000000; 3; 3; 43;0,06976744
djenne_madiama;0,00000000;0,33333333;0,33333333;0,33333333;0,6666667;1,00000000;0,33333333;0,33333333;0,00000000;1,0000000;1,00000000;0,3333333;1,0000000;0,00000000;0,0000000;1,00000000; 3; 3; 12;0,25000000
djenne_nema_badenyakafo;0,00000000;0,50000000;0,50000000;0,00000000;0,5000000;0,50000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 3; 80;0,02500000
djenne_niansanari;0,00000000;0,66666667;0,00000000;0,00000000;1,0000000;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;0,5000000;0,00000000;0,0000000;1,00000000; 3; 3;  8;0,37500000
djenne_ouro_ali;0,33333333;0,33333333;0,33333333;0,33333333;0,6666667;1,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,6666667;1,0000000;0,00000000;0,0000000;1,00000000; 3; 3; 16;0,18750000
djenne_pondori;0,00000000;0,33333333;0,33333333;0,00000000;0,6666667;0,66666667;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;0,3333333;0,00000000;0,0000000;1,00000000; 3; 3;  6;0,50000000
djenne_togue_mourari;0,00000000;0,00000000;0,66666667;0,66666667;0,3333333;1,00000000;0,33333333;1,00000000;0,33333333;0,6666667;0,33333333;0,3333333;NA;0,00000000;0,6666667;0,66666667; 3; 3; 13;0,23076923
douentza_dallah;0,00000000;0,00000000;1,00000000;1,00000000;0,0000000;1,00000000;1,00000000;1,00000000;0,00000000;1,0000000;0,00000000;1,0000000;NA;0,50000000;1,0000000;0,00000000; 2; 2; 23;0,08695652
douentza_dangol_bore;0,00000000;0,00000000;0,50000000;1,00000000;0,5000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;0,50000000;0,5000000;1,0000000;0,00000000;0,5000000;0,50000000; 2; 2; 36;0,05555556
douentza_debere;0,00000000;0,00000000;0,00000000;0,00000000;0,5000000;1,00000000;1,00000000;1,00000000;0,00000000;1,0000000;0,00000000;1,0000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 2;  8;0,25000000
douentza_dianwely;0,00000000;0,00000000;0,50000000;0,50000000;1,0000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;0,50000000;0,0000000;NA;0,00000000;0,0000000;1,00000000; 2; 2; 10;0,20000000
douentza_djaptodji;0,00000000;0,00000000;1,00000000;0,00000000;0,0000000;1,00000000;1,00000000;1,00000000;0,00000000;1,0000000;0,00000000;0,0000000;1,0000000;0,00000000;1,0000000;0,00000000; 2; 2; 72;0,02777778
douentza_douentza;0,00000000;0,00000000;0,33333333;0,33333333;1,0000000;1,00000000;0,33333333;0,33333333;0,00000000;1,0000000;0,66666667;0,0000000;1,0000000;0,00000000;0,3333333;1,00000000; 3; 3;  7;0,42857143
douentza_gandamia;0,00000000;0,00000000;0,50000000;1,00000000;1,0000000;1,00000000;0,00000000;1,00000000;0,50000000;0,5000000;1,00000000;0,0000000;1,0000000;0,00000000;0,0000000;0,00000000; 2; 2;  8;0,25000000
douentza_haire;0,00000000;0,00000000;0,50000000;0,50000000;1,0000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;0,50000000;0,0000000;1,00000000; 2; 2; 58;0,03448276
douentza_hombori;0,00000000;0,00000000;0,00000000;1,00000000;0,0000000;1,00000000;1,00000000;1,00000000;0,00000000;1,0000000;0,00000000;0,0000000;1,0000000;0,00000000;1,0000000;1,00000000; 2; 2; 33;0,06060606
douentza_kerena;0,00000000;0,00000000;1,00000000;1,00000000;0,0000000;1,00000000;0,50000000;1,00000000;0,00000000;1,0000000;0,00000000;0,0000000;NA;0,00000000;0,0000000;0,00000000; 2; 2;  4;0,50000000
douentza_korarou;0,00000000;1,00000000;0,00000000;0,50000000;0,5000000;1,00000000;0,50000000;0,50000000;0,00000000;1,0000000;0,50000000;0,5000000;1,0000000;0,00000000;0,0000000;1,00000000; 2; 2;  7;0,28571429
douentza_koubewel_koundia;0,00000000;0,00000000;1,00000000;0,50000000;1,0000000;1,00000000;0,00000000;0,50000000;0,00000000;1,0000000;0,00000000;0,0000000;1,0000000;0,00000000;0,5000000;1,00000000; 2; 2; 22;0,09090909
douentza_mondoro;0,00000000;0,00000000;0,66666667;0,66666667;0,3333333;1,00000000;0,66666667;0,66666667;0,00000000;1,0000000;0,33333333;0,3333333;NA;0,00000000;0,6666667;1,00000000; 3; 3; 38;0,07894737
douentza_petaka;0,00000000;0,00000000;1,00000000;1,00000000;0,5000000;1,00000000;0,50000000;1,00000000;0,00000000;1,0000000;0,50000000;0,0000000;NA;0,00000000;1,0000000;1,00000000; 2; 2;  5;0,40000000
douentza_tedie;0,00000000;1,00000000;1,00000000;1,00000000;0,5000000;1,00000000;0,50000000;0,00000000;0,00000000;1,0000000;0,50000000;0,5000000;1,0000000;0,00000000;1,0000000;1,00000000; 2; 2; 15;0,13333333
filingue_filingue;0,00000000;0,00000000;0,63157895;0,84210526;0,8421053;0,26315789;0,21052632;0,15789474;0,10526316;0,8947368;0,63157895;0,6842105;0,0000000;0,00000000;0,3684211;0,57894737;19;25;180;0,10555556
filingue_imanan;0,00000000;0,00000000;0,41666667;0,66666667;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,75000000;0,3333333;NA;0,00000000;0,5833333;0,75000000;12;16; 85;0,14117647
filingue_kourfeye_centre;0,00000000;0,00000000;0,71428571;0,42857143;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,57142857;1,0000000;NA;0,00000000;0,7142857;0,85714286; 7;10;133;0,05263158
filingue_tondikandia;0,00000000;0,00000000;0,50000000;0,25000000;1,0000000;0,16666667;0,00000000;0,00000000;0,00000000;1,0000000;0,16666667;0,8333333;NA;0,00000000;0,5833333;1,00000000;12;23;227;0,05286344
gao_anchawadi;0,38461538;0,38461538;0,69230769;0,46153846;0,3846154;0,84615385;0,76923077;0,84615385;0,00000000;1,0000000;0,15384615;0,6153846;0,8888889;0,00000000;0,7692308;0,38461538;13;14; 33;0,39393939
gao_gabero;0,00000000;0,05555556;0,27777778;0,27777778;0,7777778;0,61111111;0,27777778;0,05555556;0,27777778;0,7222222;0,38888889;0,2777778;0,0000000;0,11111111;0,5000000;0,27777778;18;18; 38;0,47368421
gao_gao;1,00000000;1,00000000;1,00000000;1,00000000;1,0000000;0,00000000;0,00000000;1,00000000;0,00000000;1,0000000;0,00000000;1,0000000;1,0000000;1,00000000;1,0000000;0,00000000; 1; 1; 11;0,09090909
