"reg_dep","idp_refugie_last_month","idp_refugie_3_months","food_access_no","mean_existence_access_no","market_access","security_feeling_no","health_access_no","education_access_no","diff_info_access","diff_info_access_no","nutri_programme","enough_water_access_no","pdi_vivant_cond_adeq_no","abris_dommages","procuration_savon","tel_mobile","settlement_assessed_num","ki_num","localiteName_fr","localiteRefName","com_loc","admin3Name_fr","admin3Pcode","admin3RefName","admin2Name_fr","admin2Pcode","admin2RefName","admin1Name_fr","admin1Pcode","admin1RefName","admin0Name_fr","admin0Pcode","admin0RefName","POINT_X","POINT_Y","dep_com","settlement_dep_num","pay_reg","geometry","dep_percentage"
"Centre-Nord_Bam",0.0909090909090909,0.181818181818182,0.121212121212121,0.0303030303030303,1,0.121212121212121,0,0.0606060606060606,0.0606060606060606,0.939393939393939,1,0.333333333333333,0.333333333333333,0.0303030303030303,0,0.96969696969697,33,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Centre-Nord_Namentenga",0.142857142857143,0.371428571428571,0.171428571428571,0.257142857142857,1,0.2,0,0.171428571428571,0.114285714285714,0.885714285714286,1,0.257142857142857,0.393939393939394,0,0.0571428571428571,0.914285714285714,35,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Centre-Nord_Sanmatenga",0.0163934426229508,0.114754098360656,0.278688524590164,0.245901639344262,0.967213114754098,0.180327868852459,0.114754098360656,0.295081967213115,0.0819672131147541,0.918032786885246,0.950819672131147,0.39344262295082,0.4,0,0.245901639344262,0.934426229508197,61,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Est_Gnagna",0.028169014084507,0.0985915492957746,0.507042253521127,0.309859154929577,1,0.535211267605634,0,0.28169014084507,0.450704225352113,0.549295774647887,1,0.661971830985915,0.792452830188679,0.0704225352112676,0.830985915492958,0.633802816901408,71,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Est_Gourma",0.0714285714285714,0.214285714285714,0.178571428571429,0.142857142857143,0.982142857142857,0.446428571428571,0.0357142857142857,0.303571428571429,0.178571428571429,0.821428571428571,0.964285714285714,0.892857142857143,0.735294117647059,0,0.535714285714286,0.839285714285714,56,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Est_Komonjdjari",0.125,0.125,0.25,0.25,0.875,0.375,0.1875,0.875,0.4375,0.5625,0.8125,0.625,0.75,0.1875,0.375,0.6875,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Est_Kompienga",0,0.166666666666667,0.5,0.416666666666667,0.75,0.666666666666667,0.0833333333333333,0.583333333333333,0.5,0.5,0.916666666666667,0.666666666666667,0.777777777777778,0,0.833333333333333,0.666666666666667,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Est_Tapoa",0.0655737704918033,0.163934426229508,0.114754098360656,0.19672131147541,0.983606557377049,0.508196721311475,0.0491803278688525,0.639344262295082,0.0983606557377049,0.901639344262295,0.918032786885246,0.60655737704918,0.461538461538462,0.0163934426229508,0.754098360655738,0.704918032786885,61,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Gao_Ansongo",0.26530612244898,0.448979591836735,0.510204081632653,0.489795918367347,0.63265306122449,0.959183673469388,0.408163265306122,0.877551020408163,0.530612244897959,0.469387755102041,0.346938775510204,0.326530612244898,0.8,0.224489795918367,0.795918367346939,0.26530612244898,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Gao_Bourem",0.0465116279069767,0.13953488372093,0.581395348837209,0.441860465116279,0.767441860465116,0.790697674418605,0.27906976744186,0.697674418604651,0.27906976744186,0.697674418604651,0.418604651162791,0.325581395348837,0.5,0.116279069767442,0.604651162790698,0.302325581395349,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Gao_Gao",0.0919540229885057,0.137931034482759,0.367816091954023,0.183908045977011,0.816091954022989,0.528735632183908,0.218390804597701,0.701149425287356,0.195402298850575,0.804597701149425,0.551724137931034,0.264367816091954,0.631578947368421,0.114942528735632,0.528735632183908,0.459770114942529,87,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Menaka_Anderamboukane",0.166666666666667,0.333333333333333,0.583333333333333,0.666666666666667,0.583333333333333,0.75,0.75,0.916666666666667,0.5,0.5,0,0.666666666666667,0.75,0.166666666666667,0.916666666666667,0,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Menaka_Inekar",0,0.555555555555556,0.444444444444444,0.444444444444444,0.333333333333333,0.666666666666667,0.666666666666667,0.888888888888889,0.333333333333333,0.666666666666667,0,0.555555555555556,0.6,0,0.777777777777778,0.111111111111111,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Menaka_Menaka",0,0.4,0.6,0.6,0.4,0.7,0.6,1,0.2,0.8,0.2,0.3,1,0.1,0.8,0.1,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Menaka_Tidermene",0.222222222222222,0.555555555555556,0.666666666666667,0.666666666666667,0.333333333333333,0.777777777777778,0.888888888888889,0.777777777777778,0.444444444444444,0.555555555555556,0.111111111111111,0.777777777777778,0.8,0,0.888888888888889,0,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Bandiagara",0.125,0.35,0.425,0.75,0.825,1,0.125,1,0,1,0.65,0.425,0.973684210526316,0,0.425,1,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Bankass",0.103448275862069,0.344827586206897,0.482758620689655,0.862068965517241,0.758620689655172,1,0.310344827586207,1,0.0344827586206897,0.96551724137931,0.551724137931034,0.551724137931034,0.964285714285714,0,0.448275862068966,0.96551724137931,29,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Djenne",0.0277777777777778,0.0833333333333333,0.388888888888889,0.361111111111111,0.694444444444444,1,0.194444444444444,0.694444444444444,0.0277777777777778,0.972222222222222,0.611111111111111,0.25,1,0,0.138888888888889,0.916666666666667,36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Douentza",0.0606060606060606,0.151515151515152,0.636363636363636,0.818181818181818,0.696969696969697,1,0.363636363636364,0.878787878787879,0.151515151515152,0.848484848484849,0.303030303030303,0.575757575757576,0.933333333333333,0,0.393939393939394,0.848484848484849,33,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Koro",0.125,0.40625,0.375,0.71875,0.75,1,0.28125,1,0.125,0.875,0.53125,0.5625,0.964285714285714,0.03125,0.625,0.84375,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Mopti",0.0555555555555556,0.0833333333333333,0.388888888888889,0.5,0.666666666666667,1,0.305555555555556,0.861111111111111,0.138888888888889,0.861111111111111,0.333333333333333,0.0555555555555556,1,0,0.361111111111111,0.833333333333333,36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Tenenkou",0.032258064516129,0.161290322580645,0.387096774193548,0.32258064516129,0.838709677419355,1,0.290322580645161,0.967741935483871,0.032258064516129,0.967741935483871,0.741935483870968,0.354838709677419,0.764705882352941,0,0.161290322580645,0.935483870967742,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Youwarou",0.0476190476190476,0.238095238095238,0.333333333333333,0.619047619047619,0.428571428571429,1,0.333333333333333,0.761904761904762,0,1,0.476190476190476,0.142857142857143,1,0,0.142857142857143,0.904761904761905,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Nord_Loroum",0.032258064516129,0.129032258064516,0.838709677419355,0.935483870967742,0.741935483870968,0.774193548387097,0.0967741935483871,0.580645161290323,0.548387096774194,0.451612903225806,0.870967741935484,0.225806451612903,0.9,0,0.935483870967742,0.774193548387097,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Nord_Passore",0.0666666666666667,0.111111111111111,0.333333333333333,0.0222222222222222,1,0.0888888888888889,0,0,0.244444444444444,0.755555555555556,1,0.444444444444444,0.653846153846154,0.0222222222222222,0.466666666666667,0.977777777777778,45,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Nord_Yatenga",0.2,0.2875,0.4625,0.425,0.825,0.5375,0.0875,0.3125,0.375,0.625,0.9125,0.275,0.666666666666667,0.0375,0.5,0.9375,80,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Nord_Zondoma",0.0555555555555556,0.0555555555555556,0.333333333333333,0,1,0.166666666666667,0,0,0.111111111111111,0.888888888888889,1,0.166666666666667,0.777777777777778,0,0.277777777777778,0.944444444444444,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Sahel_Oudalan",0.272727272727273,0.454545454545455,0.681818181818182,0.863636363636364,0.954545454545455,0.409090909090909,0.318181818181818,0.818181818181818,0.590909090909091,0.409090909090909,0.727272727272727,0.727272727272727,0.545454545454545,0.0454545454545455,0.636363636363636,0.5,22,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Sahel_Seno",0.1875,0.375,0.5,0.5,1,0.5,0,0.65625,0.1875,0.8125,1,0.59375,0.689655172413793,0,0.25,0.84375,32,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Sahel_Soum",0.0263157894736842,0.105263157894737,0.657894736842105,0.578947368421053,0.868421052631579,0.447368421052632,0.263157894736842,0.921052631578947,0.315789473684211,0.684210526315789,0.763157894736842,0.421052631578947,0.384615384615385,0,0.421052631578947,0.815789473684211,38,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Sahel_Yagha",0.217391304347826,0.391304347826087,0.652173913043478,0.826086956521739,0.956521739130435,0.608695652173913,0.0434782608695652,0.956521739130435,0.391304347826087,0.608695652173913,1,0.826086956521739,0.65,0,0.565217391304348,0.652173913043478,23,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tahoua_Tassara",0.173913043478261,0.173913043478261,0.608695652173913,0.478260869565217,0.391304347826087,0.652173913043478,0.434782608695652,0.260869565217391,0.478260869565217,0.521739130434783,0.565217391304348,0.434782608695652,0.166666666666667,0,0.565217391304348,0.434782608695652,23,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tahoua_Tillia",0.0357142857142857,0.0714285714285714,0.857142857142857,0.857142857142857,0.892857142857143,0.392857142857143,0.142857142857143,0.25,0.321428571428571,0.678571428571429,0.714285714285714,0.75,0.333333333333333,0.0357142857142857,0.571428571428571,0.392857142857143,28,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tillaberi_Abala",0,0,0.491228070175439,0.56140350877193,0.842105263157895,0.491228070175439,0.0350877192982456,0.263157894736842,0.175438596491228,0.824561403508772,0.736842105263158,0.684210526315789,0.333333333333333,0.0350877192982456,0.771929824561403,0.771929824561403,57,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tillaberi_Ayerou",0,0,0.75,0.666666666666667,1,0.833333333333333,0.0833333333333333,0.25,0.166666666666667,0.833333333333333,0.666666666666667,0.333333333333333,1,0,0.416666666666667,0.25,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tillaberi_Banibangou",0,0,0.875,0.9375,0.8125,0.75,0.25,0.6875,0.5,0.5,0.75,0.5625,1,0,0.75,0.375,16,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tillaberi_Bankilare",0,0,0.375,0.625,1,0.125,0,0.125,0.375,0.625,0.625,0.75,0,0,0.375,0.875,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tillaberi_Filingue",0,0,0.507692307692308,0.523076923076923,1,0.123076923076923,0,0,0.0769230769230769,0.923076923076923,0.738461538461539,0.523076923076923,NA,0,0.523076923076923,0.892307692307692,65,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tillaberi_Gotheye",0,0,0.5,0.555555555555556,1,0.138888888888889,0,0.0555555555555556,0.25,0.75,0.916666666666667,0.527777777777778,NA,0.0277777777777778,0.555555555555556,0.777777777777778,36,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tillaberi_Ouallam",0.0789473684210526,0.0921052631578947,0.631578947368421,0.565789473684211,1,0.342105263157895,0,0.105263157894737,0.131578947368421,0.868421052631579,0.907894736842105,0.513157894736842,0.727272727272727,0.0394736842105263,0.460526315789474,0.526315789473684,76,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tillaberi_Say",0,0,0.212121212121212,0.424242424242424,1,0,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.96969696969697,0.909090909090909,0.363636363636364,NA,0.0606060606060606,0.212121212121212,0.878787878787879,33,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tillaberi_Tera",0,0.015625,0.515625,0.453125,1,0.25,0,0.125,0.234375,0.765625,0.84375,0.515625,1,0.046875,0.484375,0.765625,64,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tillaberi_Tillaberi",0,0.0128205128205128,0.448717948717949,0.179487179487179,1,0.166666666666667,0,0.0641025641025641,0.333333333333333,0.666666666666667,0.91025641025641,0.371794871794872,0.625,0.0128205128205128,0.512820512820513,0.666666666666667,78,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tillaberi_Torodi",0,0.05,0.45,0.35,1,0.25,0,0.05,0.05,0.95,0.8,0.35,0.833333333333333,0,0.25,0.95,20,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tombouctou_Dire",0,0,0.15,0.25,0.75,0.35,0.3,0.7,0.1,0.9,0.5,0.25,0,0,0.35,0.25,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tombouctou_Goundam",0.0740740740740741,0.111111111111111,0.444444444444444,0.407407407407407,0.481481481481481,0.555555555555556,0.481481481481481,0.740740740740741,0.444444444444444,0.555555555555556,0.407407407407407,0.222222222222222,0.714285714285714,0,0.481481481481481,0.222222222222222,27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tombouctou_Gourma-Rharous",0.0909090909090909,0.272727272727273,0.5,0.545454545454545,0.545454545454545,0.727272727272727,0.5,0.772727272727273,0.409090909090909,0.590909090909091,0.409090909090909,0.454545454545455,0.625,0,0.545454545454545,0.318181818181818,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tombouctou_Niafunke",0.0526315789473684,0.263157894736842,0.157894736842105,0.368421052631579,0.842105263157895,1,0.157894736842105,0.684210526315789,0.105263157894737,0.894736842105263,0.736842105263158,0.473684210526316,1,0,0.263157894736842,0.894736842105263,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Tombouctou_Tombouctou",0,0.133333333333333,0.4,0.4,0.666666666666667,0.533333333333333,0.266666666666667,0.933333333333333,0.266666666666667,0.733333333333333,0.466666666666667,0.133333333333333,0,0,0.533333333333333,0.266666666666667,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
